model,label,roc_auc,f1,precision,recall
TF-IDF+LogReg,toxic,0.9702782709265286,0.717438494934877,0.612982998454405,0.8648059310946359
TF-IDF+LogReg,severe_toxic,0.9803947884965759,0.40390243902439027,0.2633587786259542,0.8661087866108786
TF-IDF+LogReg,obscene,0.9804341781247784,0.7401522674611056,0.637400228050171,0.8823993685872139
TF-IDF+LogReg,threat,0.9941947238521003,0.38,0.25,0.7916666666666666
TF-IDF+LogReg,insult,0.9772791481730329,0.6519823788546255,0.5187781672508763,0.8772226926333616
TF-IDF+LogReg,identity_hate,0.970086497236536,0.32341269841269843,0.20451693851944794,0.7725118483412322
LSTM+GloVe,toxic,0.9595393241278047,0.5149945802721908,0.3557404326123128,0.9324029655473179
LSTM+GloVe,severe_toxic,0.988058722568165,0.17283046503112412,0.09470304975922954,0.9874476987447699
LSTM+GloVe,obscene,0.9757911420781497,0.45010297697060475,0.29504172803141876,0.9486977111286503
LSTM+GloVe,threat,0.978148283971314,0.04007902907140841,0.02045520023048113,0.9861111111111112
LSTM+GloVe,insult,0.9701063656012217,0.3856364874063989,0.24132055378061767,0.9593564775613886
LSTM+GloVe,identity_hate,0.966028161900258,0.1103222282905516,0.058533758330918575,0.957345971563981
